Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6BaAfkuA8e6ZY9o1Xg9D7Z,"Go Legend","Best Of Rap","Big Sean,Metro Boomin,Travis Scott",2020-09-08,268946,0,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:06:59Z,"detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap,slap house","UME - Global Clearing House",0.656,0.564,1,-8.925,0,0.0883,0.0167,0.00000148,0.165,0.251,150.012,4
0LDj33afVItsg4wE6J4kl4,"Don't Play","Rap Game, Vol. 1 (The Takeover) [Frank White Presents the Streets Headbangerz]","Travis Scott,Big Sean,The 1975",2014-07-02,286633,12,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:07:02Z,"rap,slap house,detroit hip hop,hip hop,pop rap,r&b,southern hip hop,trap,modern alternative rock,modern rock,pop,pov: indie,rock","TakeOver",0.673,0.701,0,-4.608,1,0.0352,0.00296,0,0.159,0.114,128.054,4
3A3ZLkDjsxZC2NQqlaWyWs,"Deserve","Deserve","Kris Wu,Travis Scott",2017-10-12,182837,24,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:07:09Z,"chinese hip hop,chinese idol pop,rap,slap house","Universal Music Ltd",0.677,0.697,5,-5.63,0,0.0321,0.0198,0,0.144,0.61,134,4
59apDqngbYM5bwbskjZN0u,"Bandz (feat. Travi$ Scott)","Dream Chaser 3","Meek Mill,Travis Scott",2013-10-01,264013,12,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:11Z,"hip hop,philly rap,pop rap,rap,southern hip hop,trap,slap house","Dundridge Entertainment / Unlimited Business",0.566,0.726,10,-4.564,0,0.0331,0.00276,0.00000255,0.139,0.33,132.901,4
7hNXaVQSTF187V7JAfanA6,"10 2 10 - Remix","10 2 10 (Remix)","Big Sean,Rick Ross,Travis Scott",2014-01-01,292733,23,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:15Z,"detroit hip hop,hip hop,pop rap,r&b,rap,southern hip hop,trap,dirty south rap,gangster rap,slap house","Getting Out Our Dreams Inc. (G.O.O.D.) Music / IDJ",0.653,0.809,1,-4.811,1,0.108,0.0775,0,0.348,0.422,113.892,4
4RzmEeKCDqFZrYhsaNd5kJ,"Deserve (feat. Travis Scott) - Lido Remix","Deserve (feat. Travis Scott) [Lido Remix]","Kris Wu,Travis Scott,Lido",2017-12-20,242000,21,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:20Z,"chinese hip hop,chinese idol pop,rap,slap house,norwegian pop,vapor twitch","Ace Unit Culture Media Co., Limited",0.609,0.817,10,-7.231,0,0.0465,0.0155,0.00000394,0.118,0.196,134.009,4
4apuROlRbp6fEYa6KpyYkq,"Dark Knight Dummo (Feat. Travis Scott)","Hip Hop Hit List (Vol. IV)","Trippie Redd,Travis Scott",2018-03-30,256173,0,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:23Z,"melodic rap,rap,trap,slap house","UMG Recordings, Inc.",0.379,0.828,8,-2.882,0,0.0791,0.147,0,0.14,0.257,121.065,4
07cQx0eOEyvwWELooh6EcW,"4 AM","Nothing But Hip Hop Bangers","2 Chainz,Travis Scott",2019-11-29,255560,5,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:26Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap,slap house","UME - Global Clearing House",0.796,0.5,6,-7.21,0,0.423,0.121,0,0.155,0.227,75.012,4
5ULzWXdPn98TLH6i0C0pdl,"$hut Up!!!","10Pc. Mild","Trinidad James,Travis Scott",2014-10-31,214016,23,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:35Z,"atl hip hop,dirty south rap,trap,rap,slap house","Think It's A Game Entertainment, LLC",0.689,0.683,9,-6.532,0,0.0482,0.0432,0,0.316,0.506,128.01,4
7pIUR1RwTHyCKruORuaFth,"3 Wayz (feat. Travis Scott)","3 Wayz (feat. Travis Scott)","Ty Dolla $ign,Travis Scott",2016-09-02,221660,27,9gawsqi088oaqvjoj72n0mhab,2023-10-01T00:08:39Z,"hip hop,pop rap,r&b,southern hip hop,trap,trap soul,rap,slap house","Atlantic Records",0.777,0.405,11,-8.757,0,0.059,0.139,0,0.107,0.0681,120.976,4
